Date:- 10/1/2011 12:10:28 PM Extract Name:- CityMaster
CITYID|||CITYNAME|||COUNTRYNAME|||REGIONNAME|||STATENAME~~~
CTY0000001|||ADILABAD|||INDIA|||SOUTHERN|||Andhra Pradesh~~~
CTY0000002|||AGRA|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000003|||AHMEDABAD|||INDIA|||WESTERN|||Gujarat~~~
CTY0000004|||AHMEDNAGAR|||INDIA|||WESTERN|||Maharashtra~~~
CTY0000005|||AIZAWL|||INDIA|||EASTERN|||Mizoram~~~
CTY0000006|||AJMER|||INDIA|||NORTHERN|||RAJASTHAN~~~
CTY0000007|||AKOLA|||INDIA|||WESTERN|||Maharashtra~~~
CTY0000008|||ALAPUZHA|||INDIA|||SOUTHERN|||Kerala~~~
CTY0000009|||ALIGARH|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000010|||ALLAHABAD|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000011|||ALMORA|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000012|||ALWAR|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000013|||AMBALA|||INDIA|||NORTHERN|||Haryana~~~
CTY0000014|||AMRAVATI|||INDIA|||WESTERN|||Maharashtra~~~
CTY0000015|||AMRELI|||INDIA|||WESTERN|||Gujarat~~~
CTY0000016|||AMRITSAR|||INDIA|||NORTHERN|||Punjab~~~
CTY0000017|||ANANTAPUR|||INDIA|||SOUTHERN|||Andhra Pradesh~~~
CTY0000018|||ANANTNAG|||INDIA|||NORTHERN|||Jammu & Kashmir~~~
CTY0000019|||ANDAMAN|||INDIA|||SOUTHERN|||Andaman & Nicobar Islands~~~
CTY0000020|||ANGUL|||INDIA|||EASTERN|||Orissa~~~
CTY0000021|||ANNA|||INDIA|||SOUTHERN|||Tamil Nadu~~~
CTY0000022|||ARARIA|||INDIA|||NORTHERN|||Bihar~~~
CTY0000023|||AURANGABAD - BIHAR|||INDIA|||NORTHERN|||Bihar~~~
CTY0000024|||AURANGABAD - MAHARASHTRA|||INDIA|||WESTERN|||MAHARASHTRA~~~
CTY0000025|||AZAMGARH|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000026|||BADGAM|||INDIA|||NORTHERN|||Jammu & Kashmir~~~
CTY0000027|||BAHRAICH|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000028|||BALAGHAT|||INDIA|||NORTHERN|||Madhya Pradesh~~~
CTY0000029|||BALANGIR|||INDIA|||EASTERN|||Orissa~~~
CTY0000030|||BALESHWAR|||INDIA|||EASTERN|||Orissa~~~
CTY0000031|||BALLIA|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000032|||BANAS KANTHA|||INDIA|||WESTERN|||Gujarat~~~
CTY0000033|||BANDA|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000034|||BANGALORE RURAL|||INDIA|||SOUTHERN|||Karnataka~~~
CTY0000035|||BANGALORE URBAN|||INDIA|||SOUTHERN|||Karnataka~~~
CTY0000036|||BANKA|||INDIA|||NORTHERN|||Bihar~~~
CTY0000037|||BANKURA|||INDIA|||EASTERN|||West Bengal~~~
CTY0000038|||BANSWARA|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000039|||BARA BANKI|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000040|||BARAMULLA|||INDIA|||NORTHERN|||Jammu & Kashmir~~~
CTY0000041|||BARAN|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000042|||BARDDHAMAN|||INDIA|||EASTERN|||West Bengal~~~
CTY0000043|||BAREILLY|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000044|||BARGARH|||INDIA|||EASTERN|||Orissa~~~
CTY0000045|||BARMER|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000046|||BARODA|||INDIA|||WESTERN|||Gujarat~~~
CTY0000047|||BARPETA|||INDIA|||EASTERN|||Assam~~~
CTY0000048|||BASTAR|||INDIA|||NORTHERN|||Madhya Pradesh~~~
CTY0000049|||BASTI|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000050|||BATHINDA|||INDIA|||NORTHERN|||Punjab~~~
CTY0000051|||BEGUSARAI|||INDIA|||NORTHERN|||Bihar~~~
CTY0000052|||BELGAUM|||INDIA|||SOUTHERN|||Karnataka~~~
CTY0000053|||BELLARY|||INDIA|||SOUTHERN|||Karnataka~~~
CTY0000054|||BETUL|||INDIA|||NORTHERN|||Madhya Pradesh~~~
CTY0000055|||BHABUA|||INDIA|||NORTHERN|||Bihar~~~
CTY0000056|||BHADOHI|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000057|||BHADRAK|||INDIA|||EASTERN|||Orissa~~~
CTY0000058|||BHAGALPUR|||INDIA|||NORTHERN|||Bihar~~~
CTY0000059|||BHANDARA|||INDIA|||WESTERN|||Maharashtra~~~
CTY0000060|||BHARATPUR|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000061|||BHARUCH|||INDIA|||WESTERN|||Gujarat~~~
CTY0000062|||BHAVNAGAR|||INDIA|||WESTERN|||Gujarat~~~
CTY0000063|||BHILWARA|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000064|||BHIND|||INDIA|||NORTHERN|||Madhya Pradesh~~~
CTY0000065|||BHIWANI|||INDIA|||NORTHERN|||Haryana~~~
CTY0000066|||BHOJPUR|||INDIA|||NORTHERN|||Bihar~~~
CTY0000067|||BHOPAL|||INDIA|||NORTHERN|||Madhya Pradesh~~~
CTY0000068|||BID|||INDIA|||WESTERN|||Maharashtra~~~
CTY0000069|||BIDAR|||INDIA|||SOUTHERN|||Karnataka~~~
CTY0000070|||BIJAPUR|||INDIA|||SOUTHERN|||Karnataka~~~
CTY0000071|||BIJNOR|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000072|||BIKANER|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000073|||BILASPUR - HP|||INDIA|||NORTHERN|||Himachal Pradesh~~~
CTY0000074|||BILASPUR - MP|||INDIA|||NORTHERN|||Madhya Pradesh~~~
CTY0000075|||BIRBHUM|||INDIA|||EASTERN|||West Bengal~~~
CTY0000076|||BISHENPUR|||INDIA|||EASTERN|||Manipur~~~
CTY0000077|||BOKARO|||INDIA|||NORTHERN|||Bihar~~~
CTY0000078|||BONGAIGAON|||INDIA|||EASTERN|||Assam~~~
CTY0000079|||BOUDH|||INDIA|||EASTERN|||Orissa~~~
CTY0000080|||BUDAUN|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000081|||BULANDSHAHR|||INDIA|||NORTHERN|||Uttar Pradesh~~~
CTY0000082|||BULDHANA|||INDIA|||WESTERN|||Maharashtra~~~
CTY0000083|||BUNDI|||INDIA|||NORTHERN|||Rajasthan~~~
CTY0000084|||BUXAR|||INDIA|||NORTHERN|||Bihar~~~
CTY0000085|||CACHAR|||INDIA|||EASTERN|||Assam~~~
CTY0000086|||CALCUTTA|||INDIA|||EASTERN|||West Bengal~~~
CTY0000087|||CANNUR|||INDIA|||SOUTHERN|||Kerala~~~
