Date:- 10/1/2011 2:59:04 PM Extract Name:- Insurance Coverages
INSCOVGID|||INSCOVGNAME|||INSURANCETYPE~~~
INC0000006|||BURGLARY|||NULL~~~
INC0000019|||CATTLE & LIVESTOCK INSURANCE|||NULL~~~
INC0000014|||EARTHQUAKE|||NULL~~~
INC0000018|||ELECTRONIC EQUIPMENT INSURANCE|||NULL~~~
INC0000004|||EXPLOSION|||NULL~~~
INC0000001|||FIRE POLICY C|||NULL~~~
INC0000009|||HOLD-UP|||NULL~~~
INC0000007|||HOUSEBREAKING|||NULL~~~
INC0000015|||INDUSTRIAL ALL RISK|||NULL~~~
INC0000002|||JEWELLERS BLOCK POLICY|||NULL~~~
INC0000005|||LIGHTNING|||NULL~~~
INC0000003|||MISCELLANEOUS ACCIDENT|||NULL~~~
INC0000017|||PROPERTY OWNER INSURANCE|||NULL~~~
INC0000011|||RIOT AND STRIKE|||NULL~~~
INC0000010|||ROBBERY|||NULL~~~
INC0000020|||ROHIT|||NULL~~~
INC0000016|||TEA CROP|||NULL~~~
INC0000012|||TERRORIST ATTACK|||NULL~~~
INC0000008|||THEFT|||NULL~~~
INC0000013|||TRANSIT INSURANCE|||NULL~~~
Total Row Count =20
