Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Master
RBIINDID|||RBIINDNAME~~~
75001|||ACTIVITIES OF AGENCIES THAT PROVIDE HEALTHCARE, EDUCATION, CULTURAL SERVICES AND OTHER SOCIAL SERVIC~~~
91101|||ACTIVITIES OF BUSINESS, EMPLOYERS AND PROFESSIONAL ORGANISATIONS [ INDUSTRY ASSOCIATIONS, CHAMBER OF~~~
63019|||ACTIVITIES OF OTHER TRANSPORT AGENCIES [INCLUDES CARGO HANDLING, FORWARDING OF FREIGHT, ORGANISATION~~~
55301|||ACTIVITIES OF TRAVEL AGENCIES AND TOUR OPERATORS, TOUR ASSISTANCE ACTIVITIES (TOURISM SERVICES)~~~
63014|||ACTIVITIES OF TRAVEL AGENCIES AND TOUR OPERATORS; TOURIST ASSISTANCE ACTIVITIES N.E.C.  )~~~
74301|||ADVERTISING AND PUBLICITY CONCERNS)~~~
963|||AGENTS -- ESTATE AGENTS, CONSULTANTS, COMMISSION AGENTS AND OTHER AGENCIES~~~
51501|||AGRICULTURAL  MACHINERY AND EQUIPMENT)~~~
962|||AGRICULTURAL CUSTOM SERVICE UNITS (EG, SERVICES OF TRACTORS, SPRAYING OPERATIONS & OPERATION OF OTHER AGRICULTURAL EQUIPMENT'S TO FARMERS ON CONTRACT BASIS AND AGRO-BASED SERVICE CENTERS LIKE GRADING OF AGRICULTURAL PRODUCTS OR LIVESTOCK'S, SCIENTIFIC SER~~~
01409|||AGRICULTURAL CUSTOM SERVICE UNITS PROVIDING SERVICES FOR)~~~
840|||AGRICULTURAL FINANCE CORPORATIONS AND CONSULTANTS~~~
65931|||AGRICULTURAL FINANCE CORPORATIONS)~~~
623|||AGRICULTURAL IMPLEMENTS AND MACHINERY - RETAIL TRADE~~~
613|||AGRICULTURAL IMPLEMENTS AND MACHINERY - WHOLESALE TRADE~~~
992|||AGRO-INDUSTRIES CORPORATIONS~~~
67101|||AGRO-INDUSTRIES CORPORATIONS)~~~
730|||AIR TRANSPORT INCLUDING SUPPORT SERVICES LIKE RADAR STATION, RADIO BEACONS, ETC~~~
374|||AIRCRAFT'S, SPACECRAFT'S AND PARTS, BUILDING AND REPAIRING OF SHIPS AND MAKING OF BOATS AND OTHER VESSELS, LOCOMOTIVES (DIESEL, STEAM AND ELECTRIC) AND THEIR PARTS, RAILWAY WAGONS, COACHES AND PARTS, ETC~~~
19|||ALL OTHER CROPS (INCLUDING VEGETABLES, SINGHARA, CHILIES, TUBERS LIKE POTATOES, ROOTS AND FODDER CROPS, ETC)~~~
999999|||ALL OTHER LOANS NOT CLASSIFIED ELSEWHERE OR ACTIVITIES NOT ADEQUATELY DESCRIBED (THIS CODE SHOULD BE~~~
999|||ALL OTHER LOANS NOT CLASSIFIED ELSEWHERE OR ACTIVITIES NOT ADEQUATELY DESCRIBED THIS CODE SHOULD BE USED SPARINGLY)~~~
399|||ALL OTHER MISCELLANEOUS INDUSTRIES NOT CLASSIFIED ELSEWHERE(I) MISCELLANEOUS PRODUCTS SUCH AS IMITATION JEWELLERY, COSTUME NOVELTIES, ARTIFICIAL FLOWERS, BROOMS, BRUSHES, LAMPSHADES, TOBACCO PIPES, CIGARETTE HOLDERS, IVORY GOODS(II) MICA PRODUCTS, STRUCTU~~~
1000|||ALL OTHER RETAIL LOANS~~~
01159|||ANY OTHER DIRECT FINANCE TO AGRICULTURE ( FINANCING THROUGH KISAN CREDIT CARD  SHOULD BE CODED ACCOR~~~
833|||APEX CO-OPERATIVE HOUSING FINANCE SOCIETIES~~~
65903|||APEX CO-OPERATIVE HOUSING FINANCE SOCIETIES)~~~
93|||AQUACULTURE, FISHING (INCLUDING COLLECTION OF SEA PRODUCTS)~~~
05001|||AQUACULTURE, FISHING (INCLUDING GATHERING OF MARINE MATERIALS), OPERATION OF FISH HATCHERIES AND FIS~~~
74201|||ARCHITECTURAL, ENGINEERING AND OTHER TECHNICAL ACTIVITIES.)~~~
93001|||ARTISANS AND CRAFTSMEN (ADVANCES AVAILED FOR PURSUING SELF-EMPLOYED ACTIVITIES BY CARPENTERS, MASONS~~~
