Date:- 10/1/2011 2:59:04 PM Extract Name:- Insurance Master
INSCOMPID|||INSCOMPNAME|||ADDRESS|||CONTACTNUMBER~~~
INC0000012|||BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED |||R S TOWER, M.G ROAD, MUMBAI-401245|||30754952~~~
INC0000022|||BHARTI AXA GENERAL INSURANCE CO|||NANDIVALI ROAD, NEAR TELEPHONE EXCHANGE, 5/QW BUILD, DOMBIVALI-421201|||021245211~~~
INC0000016|||CHALAMANDALAM MS GENERAL INSURANCE COMPANY LTD|||NULL|||NULL~~~
INC0000025|||Chartis Takaful Enaya BSC|||NULL|||NULL~~~
INC0000020|||Future Generali India Insurance Co. Ltd|||NULL|||NULL~~~
INC0000019|||Future Generali India Life Insurance Co. Ltd|||NULL|||NULL~~~
INC0000001|||GENERAL INSURANCE CORPORATION|||NULL|||NULL~~~
INC0000017|||GOVERNMENT INSURANCE FUND|||NULL|||NULL~~~
INC0000018|||HDFC CHUBB GENERAL INSURANCE COMPANY|||MUMBAI CENTRAL, TARDEO, MUMBAI-34|||49484649~~~
INC0000021|||HDFC ERGO GENERAL INSURANCE COMPANY LTD.|||NULL|||NULL~~~
INC0000009|||HDFC STANDARD LIFE INSURANCE  CO. LTD.|||A-502, Mayuresh srishti,L.B.S, Marg, Ghathkopar(W), Mumbai-40|||1111222~~~
INC0000013|||ICICI LOMBARD GENERAL INSURANCE CO.LTD.|||NULL|||NULL~~~
INC0000015|||IFFKO-TOKIO GENERAL INSURANCE CO. LTD.|||12/25,NARIMAN POINT,EXPRESS TOWER NO III,10TH FLOOR, MUMBAI 400025 |||45454545~~~
INC0000027|||L & T Insurance|||A/502, PANNALAL COMP, L.B.S, Marg, Bandup(W), Mumbai-78|||986907235~~~
INC0000002|||LIFE INSURANCE CORPORATION|||1/15, POLICE COURT LINE, FORT, MUMBAI-400001|||22938109~~~
INC0000005|||NATIONAL INSURANCE CO. LTD|||NULL|||NULL~~~
INC0000008|||NEW INDIA ASSURANCE CO. LTD.|||PARIS CORNAR, MAHALAXMI ROAD, MUMBAI-13|||9769227325~~~
INC0000004|||NEW INDIA INSURANCE CO. LTD.|||NULL|||NULL~~~
INC0000003|||ORIENTAL INSURANCE CO. LTD|||NULL|||NULL~~~
INC0000011|||RELIANCE GENERAL INSURANCE CO. LTD|||NULL|||NULL~~~
INC0000014|||ROYAL SUNDARAM ALLIANCE INSURANCE COMPANY LTD|||NULL|||NULL~~~
INC0000024|||SBI GENERAL INSURANCE|||NULL|||NULL~~~
INC0000026|||shriram general insurance company limited|||NULL|||NULL~~~
INC0000010|||TATA AIG GENERAL INSURANCE CO. LTD|||NULL|||NULL~~~
INC0000006|||UNITED INDIA ASSURANCE CO. LTD|||NULL|||NULL~~~
INC0000007|||UNITED INDIA INSURANCE CO. LTD.|||12/25,NARIMAN POINT,EXPRESS TOWER NO III,10TH FLOOR, MUMBAI 400021 |||NULL~~~
INC0000023|||UNIVERSAL SOMPO GENERAL INSURANCE CO. LTD.|||NULL|||NULL~~~
Total Row Count =27
