Date:- 10/1/2011 3:11:13 PM Extract Name:- Party Group Master
PTYGROUPID|||PTYGROUPDESC|||GROUPLIMIT~~~
PTG0000002|||TATA GROUP|||NULL~~~
PTG0000003|||RELIANCE GROUP|||NULL~~~
PTG0000004|||ESCORTS GROUP|||NULL~~~
PTG0000005|||ADITYA BIRLA GROUP|||NULL~~~
PTG0000010|||GODREJ GROUP|||NULL~~~
PTG0000020|||ESSAR GROUP|||NULL~~~
PTG0000049|||ITC GROUP|||NULL~~~
PTG0000074|||IL & FS GROUP|||NULL~~~
PTG0000078|||SIEMENS GROUP|||NULL~~~
PTG0000279|||TRIBHOVANDAS BHIMJI ZAVERI WESTEND|||NULL~~~
PTG0001812|||HINDUJA GROUP|||NULL~~~
PTG0001831|||LARSEN & TOUBRO GROUP|||NULL~~~
PTG0010971|||LASER EXPORT PVT LTD|||NULL~~~
PTG0001834|||MAHINDRA & MAHINDRA GROUP|||NULL~~~
PTG0001843|||NAVEEN JINDAL GROUP|||NULL~~~
PTG0011934|||APOLLO HOSPITAL GROUP|||NULL~~~
PTG0024277|||APOLLO INDUSTRIES|||NULL~~~
PTG0012220|||J P MORGAN GROUP|||NULL~~~
PTG0012317|||RELAINCE (ADAG) GROUP|||NULL~~~
PTG0012343|||REDDY'S GROUP|||NULL~~~
PTG0035890|||DALAL & BROCHA GROUP|||NULL~~~
PTG0039970|||TRANSPORT CORPORATION OF INDIA LTD|||NULL~~~
PTG0045453|||SAJJAN JINDAL GROUP (JSW)|||NULL~~~
PTG0058638|||4 WHEEL TRAVELS|||NULL~~~
PTG0039412|||A-1 AUTO PVT LTD|||NULL~~~
PTG0007237|||ADITYA PANDEY|||NULL~~~
PTG0031500|||HAULERS INDIA|||NULL~~~
PTG0043250|||HCC|||NULL~~~
PTG0024981|||HCL GROUP|||NULL~~~
PTG0012313|||HDFC GROUP|||NULL~~~
PTG0013552|||HEAVEN MOTORS|||NULL~~~
PTG0003009|||HEAVY METALS & TUBES LTD|||NULL~~~
PTG0014194|||HEERANAND T ATHWANI & NITU H ATHWANI|||NULL~~~
PTG0026435|||HELIOUS DIAGNOSTIC HEALTHCARE PVT LTD|||NULL~~~
PTG0020151|||HEM CHAND GUPTA & SONS (HUF)|||NULL~~~
PTG0034376|||HEM GROUP|||NULL~~~
PTG0013035|||HEMA MOTORS PVT LTD|||NULL~~~
PTG0025566|||HEMANT BIRANGAL & PRASHANT BIRANGAL|||NULL~~~
PTG0011641|||HI TECH AUTO|||NULL~~~
PTG0038996|||ZYDUS GROUP|||NULL~~~
Total Row Count =40
