Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Industry Linkage
RBIINDID|||RBIINDNAME|||Indtypeid~~~
01101|||GROWING OF CEREALS)|||20~~~
01102|||GROWING OF PULSES)|||20~~~
01103|||GROWING OF OILSEEDS   INCLUDING   PEANUTS OR SOYA BEANS)|||20~~~
01104|||GROWING OF SUGARCANE OR SUGAR BEET)|||20~~~
01105|||GROWING OF COTTON)|||20~~~
01106|||GROWING OF JUTE, MESTA, SUN HEMP OR OTHER KINDRED/ OTHER VEGETABLE TEXTILE FIBRE PLANTS (INCLUDES GR|||20~~~
01107|||GROWING OF TOBACCO, INCLUDING ITS PRELIMINARY PROCESSING IN THE FARM)|||20~~~
01108|||GROWING OF VEGETABLES (OLERICULTURE), INCLUDING SINGHARA, MAKHANA, CHILLES AND MUSHROOM CULTIVATION)|||20~~~
01109|||GROWING OF FLOWERS (FLORICULTURE), HORTICULTURAL SPECIALTIES AND NURSERY PRODUCTS )|||20~~~
01111|||GROWING OF PLANTS USED CHIEFLY  IN PHARMACY ( MEDICINE PLANTS )  OR INSECTICIDE, OR SIMILAR PURPOSE|||0.9~~~
01119|||GROWING OF OTHER CROPS,  N.E.C. (INCLUDES GROWING OF  POTATOES, JAMS, SWEET POTATOES OR  CASSAVA; HO|||20~~~
01121|||GROWING OF TEA OR MATE LEAVES BY TEA ESTATES/GARDENS NOT HAVING THEIR OWN PROCESSING UNITS)|||20~~~
01122|||GROWING AND PROCESSING OF TEA OR MATE LEAVES BY TEA ESTATES/GARDENS HAVING THEIR OWN PROCESSING AND|||20~~~
01123|||GROWING OF  COFFEE OR COCOA BEANS)|||20~~~
01124|||GROWING OF RUBBER TREES; HARVESTING OF LATEX AND TREATMENT ON THE PLANTATION  OF THE LIQUID LATEX FO|||20~~~
01125|||GROWING OF FRUIT CROPS INCLUDING SETTING UP AND MAINTENANCE OF ORCHARD; ACTIVITIES INCIDENTAL TO GRO|||20~~~
01126|||GROWING OF EDIBLE NUTS INCLUDING COCONUTS)|||20~~~
01127|||GROWING OF SPICE CROPS INCLUDING: SPICE LEAVES (E.G. BAY, THYME, BASIL); SPICE SEEDS (E.G. ANISE, CO|||20~~~
01129|||GROWING OF ANY OTHER PLANTATION CROPS,  N.E.C. )|||20~~~
01151|||FARM MACHINERY AND IMPLEMENTS: PURCHASE OF TRACTORS, HARVESTER, TRAN PLANTERS, PUMP SETS ETC. AGRICU|||20~~~
01152|||FARM TRANSPORT VEHICLES/ACCESSORIES: PURCHASE OF TRUCKS, MINI TRUCKS, JEEPS, PICK UP VANS, TRAILERS,|||20~~~
01153|||SOIL/LAND/FARM DEVELOPMENT ACTIVITIES SUCH AS LEVELLING, BUNDING AND RECLAMATION OF LAND, DIGGING, R|||20~~~
01154|||FARM IRRIGATION: LIFT IRRIGATION, SPRINKLER/DRIP IRRIGATION,  TUBE-WELL IRRIGATION, DEVELOPMENT OF I|||20~~~
01155|||CONSTRUCTION OF PUMP HOUSES, CATTLE SHEDS, POULTRY SHEDS ETC.)|||20~~~
01156|||STORAGE AND MARKETING OF AGRICULTURE PRODUCE- INCLUDING LOANS FOR CONSTRUCTION AND RUNNING OF STORAG|||20~~~
01157|||CULTURING MICRO-ORGANISM FOR AGRICULTURE RELATED PURPOSE, BIO-FERTILIZERS, VERMICULTURE ETC.)|||20~~~
01159|||ANY OTHER DIRECT FINANCE TO AGRICULTURE ( FINANCING THROUGH KISAN CREDIT CARD  SHOULD BE CODED ACCOR|||20~~~
01182|||INDIRECT FINANCE TO AGRICULTURE EXCLUDING THE FOLLOWING CATEGORIES )|||20~~~
01201|||DAIRYING: -INCLUDING CATTLE (INCLUDING YAK AND BUFFALO) BREEDING, REARING AND RANCHING ETC.;  PRODUC|||20~~~
01202|||REARING OF  GOATS, PRODUCTION OF MILK ; SHEEP,  PRODUCTION OF  SHORN WOOL; HORSES, CAMELS, MULES AND|||20~~~
01203|||RAISING  OF POULTRY (INCLUDING  BROILER)  AND OTHER DOMESTICATED BIRDS; PRODUCTION OF  EGGS AND OPER|||20~~~
01209|||RAISING OF PIGS AND SWINE; FARMING OF RABBITS INCLUDING ANGORA RABBITS; RAISING OF BEES INCLUDING PR|||20~~~
01301|||GROWING OF CROPS COMBINED WITH FARMING OF ANIMALS (MIXED FARMING). [THIS INCLUDES CROP GROWING IN CO|||20~~~
01401|||COTTON GINNING, CLEANING AND BAILING)|||20~~~
01402|||BIOTECHNOLOGY INCLUDING TISSUE CULTURE SERVICES RELATED TO AGRICULTURE)|||20~~~
01409|||AGRICULTURAL CUSTOM SERVICE UNITS PROVIDING SERVICES FOR)|||20~~~
02001|||FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES:)|||20~~~
05001|||AQUACULTURE, FISHING (INCLUDING GATHERING OF MARINE MATERIALS), OPERATION OF FISH HATCHERIES AND FIS|||50~~~
1000|||ALL OTHER RETAIL LOANS|||9.0~~~
10001|||MINING AND AGGLOMERATION OF HARD COAL)|||142~~~
11|||CEREALS|||0.1~~~
110|||COAL MINING INCLUDING LIGNITE|||1.0~~~
