Date:- 10/1/2011 2:59:06 PM Extract Name:- Security Type Master
SECTYPEID|||SECTYPEDESC|||SECNATURE|||SECURITYSUBTYPE|||INSURANCE REQUIRED|||REVELUTIONARY FREQUENCY~~~
STY0000001|||EQUITY SHARES|||Marketable securities|||Shares|||N|||NULL~~~
STY0000002|||GOVERNMENT BONDS|||Marketable securities|||Bonds|||N|||NULL~~~
STY0000003|||PREFERENCE SHARES|||Marketable securities|||Shares|||N|||NULL~~~
STY0000004|||DEBENTURES|||Marketable securities|||Shares|||N|||NULL~~~
STY0000005|||STOCKS AND RECEIVABLES|||Asset based|||Stocks and Receivables|||Y|||NULL~~~
STY0000006|||FIXED DEPOSITS|||Deposits|||Fixed deposit|||N|||NULL~~~
STY0000008|||PERSONAL GUARANTEE|||Guarantees|||Individual|||N|||NULL~~~
STY0000009|||CORPORATE GUARANTEE|||Guarantees|||Corporate|||N|||NULL~~~
STY0000010|||BANK GUARANTEES|||Guarantees|||Bank|||N|||NULL~~~
STY0000013|||LAND AND BUILDING|||Asset based|||Specific Asset|||Y|||NULL~~~
STY0000014|||PLANT AND MACHINERY|||Asset based|||Plant and machinery|||Y|||NULL~~~
STY0000015|||BOOK DEBTS|||Others|||All Others|||N|||NULL~~~
STY0000017|||PACKING MATERIAL|||Asset based|||Stocks and Receivables|||Y|||NULL~~~
STY0000019|||OTHER DEBTORS|||Asset based|||Specific Asset|||Y|||NULL~~~
STY0000020|||MORTGAGE OF PROPERTY|||Others|||All Others|||N|||NULL~~~
STY0000022|||FURNITURE & FIXTURE|||Asset based|||Specific Asset|||Y|||NULL~~~
STY0000023|||COMMERCIAL VEHICLES|||Asset based|||Vehicle|||Y|||NULL~~~
STY0000024|||CARD RECEIVABLE|||Asset based|||Specific Asset|||N|||NULL~~~
STY0000028|||ICICI BONDS|||Marketable securities|||Bonds|||N|||NULL~~~
STY0000029|||IDBI BONDS|||Marketable securities|||Bonds|||N|||NULL~~~
STY0000032|||COLD STORAGE PREMISES|||Asset based|||Specific Asset|||Y|||NULL~~~
STY0000038|||STOCK WITHOUT AGEING|||Asset based|||Stocks and Receivables|||Y|||NULL~~~
STY0000039|||DEBTORS WITHOUT AGEING|||Asset based|||Stocks and Receivables|||Y|||NULL~~~
STY0000040|||SBBG|||Guarantees|||Stand By Bank Guarantee|||N|||NULL~~~
STY0000041|||PDC|||Asset based|||Post date cheques|||N|||NULL~~~
STY0000045|||CATTLE & LIVESTOCK|||Asset based|||Specific Asset|||Y|||NULL~~~
STY0000047|||TRACTOR & HARVESTER|||Asset based|||Vehicle|||Y|||NULL~~~
STY0000058|||DOMESTIC STOCK|||Asset based|||Stocks and Receivables|||Y|||NULL~~~
STY0000061|||LIC POLICY|||Insurance|||Life Insurance|||N|||NULL~~~
Total Row Count =29
