Date:- 10/1/2011 2:59:06 PM Extract Name:- Valuation Agency
CODEVALUE|||CODEDESC|||ADDRESS|||CITY|||STATE|||REGION|||COUNTRY~~~
AAVPA|||A A V PERUMAL & ASSOC|||NULL|||NULL|||NULL|||NULL|||NULL~~~
ACT|||AASTHA CONSULTANT|||NULL|||NULL|||NULL|||NULL|||NULL~~~
ADR|||ADROIT TECHNICAL SERVICES PVT LTD|||NULL|||NULL|||NULL|||NULL|||NULL~~~
AG|||AEGIS GROUP|||NULL|||NULL|||NULL|||NULL|||NULL~~~
AGAA|||AGGARWAL ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
BGA|||B G ASSOCIATES.|||NULL|||NULL|||NULL|||NULL|||NULL~~~
B A|||BANDHU & ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
BSL|||BANSIDHAR S LEKHADIA|||NULL|||NULL|||NULL|||NULL|||NULL~~~
BVC|||BAPAT VALUERS &  CONSULTANTS PVT LTD|||NULL|||NULL|||NULL|||NULL|||NULL~~~
CM|||CONSORTIUM MORTGAGE|||NULL|||NULL|||NULL|||NULL|||NULL~~~
DKNA|||D K NAGPAL & ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
VS|||GHARONDA GROUP|||NULL|||NULL|||NULL|||NULL|||NULL~~~
GAA|||GLOBAL ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
GVL|||GLOBAL VALUERS|||NULL|||NULL|||NULL|||NULL|||NULL~~~
HJA|||H JAYASURYA & ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
HRMA|||H RAI MALIK & ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
KA|||KUMAR ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
KRA|||KUPPARAJ ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
MRC|||M.R.COSULTANTS|||NULL|||NULL|||NULL|||NULL|||NULL~~~
AA|||M/S AARVY ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
BA1|||M/S BHARAT ASSOCIATES.|||NULL|||NULL|||NULL|||NULL|||NULL~~~
BPE|||M/S BOPARAI ARCHITECTS & ENGINEERS|||NULL|||NULL|||NULL|||NULL|||NULL~~~
M & A|||MDCON &  ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
MA|||MITTAL & ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
M C|||MITTAL CONSULTANTS|||NULL|||NULL|||NULL|||NULL|||NULL~~~
MAS|||MUZOOMDAR ASSOCICATES PVT LTD|||NULL|||NULL|||NULL|||NULL|||NULL~~~
NGA|||NEERAJ GUPTA ARCH & ASSOCIATE|||NULL|||NULL|||NULL|||NULL|||NULL~~~
NAS|||NEV ASSOCIATES|||NULL|||NULL|||NULL|||NULL|||NULL~~~
NCL|||NIDUS CONSULTANTS|||NULL|||NULL|||NULL|||NULL|||NULL~~~
RES|||RANE ENGINEERS & SURVEYORS|||NULL|||NULL|||NULL|||NULL|||NULL~~~
Total Row Count =30
